hours,status
450.0,1
459.99999999999994,0
1150.0,1
1150.0,1
1560.0,0
1600.0,1
1660.0000000000002,0
1850.0,0
1850.0,0
1850.0,0
1850.0,0
1850.0,0
2030.0,0
2030.0,0
2030.0,0
2070.0,1
2070.0,1
2080.0,1
2200.0,0
3000.0,0
3000.0,0
3000.0,0
3000.0,0
3100.0,1
3200.0,0
3450.0,1
3750.0,0
3750.0,0
4150.0,0
4150.0,0
4150.0,0
4150.0,0
4300.0,0
4300.0,0
4300.0,0
4300.0,0
4600.0,1
4850.0,0
4850.0,0
4850.0,0
4850.0,0
5000.0,0
5000.0,0
5000.0,0
6100.0,0
6100.0,1
6100.0,0
6100.0,0
6300.0,0
6450.0,0
6450.0,0
6700.0,0
7450.0,0
7800.0,0
7800.0,0
8100.0,0
8100.0,0
8200.0,0
8500.0,0
8500.0,0
8500.0,0
8750.0,0
8750.0,1
8750.0,0
9400.0,0
9900.0,0
10100.0,0
10100.0,0
10100.0,0
11500.0,0
