ccn,facility_name,measure_abbr,score,type
11500,BAPTIST HOSPICE,beliefs_addressed,202.0,denominator
11500,BAPTIST HOSPICE,beliefs_addressed,100.0,observed
11500,BAPTIST HOSPICE,composite_process,202.0,denominator
11500,BAPTIST HOSPICE,composite_process,88.1,observed
11500,BAPTIST HOSPICE,dyspena_treatment,110.0,denominator
11500,BAPTIST HOSPICE,dyspena_treatment,99.1,observed
11500,BAPTIST HOSPICE,dyspnea_screening,202.0,denominator
11500,BAPTIST HOSPICE,dyspnea_screening,100.0,observed
11500,BAPTIST HOSPICE,opioid_bowel,61.0,denominator
11500,BAPTIST HOSPICE,opioid_bowel,100.0,observed
11500,BAPTIST HOSPICE,pain_assessment,107.0,denominator
11500,BAPTIST HOSPICE,pain_assessment,100.0,observed
11500,BAPTIST HOSPICE,pain_screening,202.0,denominator
11500,BAPTIST HOSPICE,pain_screening,88.6,observed
11500,BAPTIST HOSPICE,treat_pref,202.0,denominator
11500,BAPTIST HOSPICE,treat_pref,100.0,observed
11500,BAPTIST HOSPICE,visits_imminent,232.0,denominator
11500,BAPTIST HOSPICE,visits_imminent,96.1,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,beliefs_addressed,525.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,beliefs_addressed,100.0,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,composite_process,525.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,composite_process,100.0,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,dyspena_treatment,438.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,dyspena_treatment,100.0,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,dyspnea_screening,525.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,dyspnea_screening,100.0,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,opioid_bowel,101.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,opioid_bowel,100.0,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,pain_assessment,325.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,pain_assessment,100.0,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,pain_screening,525.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,pain_screening,100.0,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,treat_pref,525.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,treat_pref,100.0,observed
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,visits_imminent,586.0,denominator
11501,SOUTHERNCARE NEW BEACON N. BIRMINGHAM,visits_imminent,95.2,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,beliefs_addressed,295.0,denominator
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,beliefs_addressed,100.0,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,composite_process,295.0,denominator
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,composite_process,99.3,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,dyspena_treatment,236.0,denominator
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,dyspena_treatment,99.2,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,dyspnea_screening,295.0,denominator
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,dyspnea_screening,100.0,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,opioid_bowel,38.0,denominator
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,opioid_bowel,100.0,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,pain_assessment,121.0,denominator
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,pain_assessment,100.0,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,pain_screening,295.0,denominator
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,pain_screening,100.0,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,treat_pref,295.0,denominator
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,treat_pref,100.0,observed
11502,COMFORT CARE COASTAL HOSPICE - BALDWIN,visits_imminent,390.0,denominator
