Group,Time,Trial,Condition,Subject,Y
Adults,0.0,-10,-1,a01,0.7554468905052734
Adults,20.2020202020202,-10,-1,a01,2.783475869403956
Adults,40.4040404040404,-10,-1,a01,1.969696345015641
Adults,60.6060606060606,-10,-1,a01,0.6814297881904752
Adults,80.8080808080808,-10,-1,a01,1.6939194637545696
Adults,101.01010101010101,-10,-1,a01,2.3651968720121834
Adults,121.2121212121212,-10,-1,a01,4.460074615067324
Adults,141.4141414141414,-10,-1,a01,4.015239010764854
Adults,161.6161616161616,-10,-1,a01,4.469188378323287
Adults,181.8181818181818,-10,-1,a01,4.584923100974714
Adults,202.02020202020202,-10,-1,a01,4.316339386247205
Adults,222.2222222222222,-10,-1,a01,7.0484493277409
Adults,242.4242424242424,-10,-1,a01,6.139471853634297
Adults,262.6262626262626,-10,-1,a01,4.045149232333234
Adults,282.8282828282828,-10,-1,a01,7.072674961671194
Adults,303.030303030303,-10,-1,a01,6.246854472627514
Adults,323.2323232323232,-10,-1,a01,5.988309414457422
Adults,343.4343434343434,-10,-1,a01,7.16221299702549
Adults,363.6363636363636,-10,-1,a01,6.665234842245004
Adults,383.83838383838383,-10,-1,a01,7.259847975405851
Adults,404.04040404040404,-10,-1,a01,7.647124210717921
Adults,424.2424242424242,-10,-1,a01,6.854319426234662
Adults,444.4444444444444,-10,-1,a01,9.632600329467286
Adults,464.6464646464646,-10,-1,a01,9.186491060288422
Adults,484.8484848484848,-10,-1,a01,8.117369895054145
Adults,505.050505050505,-10,-1,a01,10.715403040087407
Adults,525.2525252525252,-10,-1,a01,10.077462922923116
Adults,545.4545454545454,-10,-1,a01,9.52833336720051
Adults,565.6565656565656,-10,-1,a01,10.873628457851284
Adults,585.8585858585858,-10,-1,a01,10.994152756298567
Adults,606.060606060606,-10,-1,a01,11.057293052604717
Adults,626.2626262626262,-10,-1,a01,11.02601026673428
Adults,646.4646464646464,-10,-1,a01,10.974731932428803
Adults,666.6666666666666,-10,-1,a01,10.423986035777205
Adults,686.8686868686868,-10,-1,a01,10.226543078434494
Adults,707.070707070707,-10,-1,a01,10.180085145074969
Adults,727.2727272727273,-10,-1,a01,9.875292556180074
Adults,747.4747474747475,-10,-1,a01,10.352901992555646
Adults,767.6767676767677,-10,-1,a01,9.267635175973654
Adults,787.8787878787879,-10,-1,a01,12.655641231539846
Adults,808.0808080808081,-10,-1,a01,11.629824143964624
Adults,828.2828282828282,-10,-1,a01,9.215567796847001
Adults,848.4848484848484,-10,-1,a01,9.83438970199741
Adults,868.6868686868686,-10,-1,a01,9.65117992724414
Adults,888.8888888888888,-10,-1,a01,10.760534173321469
Adults,909.090909090909,-10,-1,a01,9.742348647364015
Adults,929.2929292929292,-10,-1,a01,9.906872609432586
Adults,949.4949494949494,-10,-1,a01,9.435834785570318
Adults,969.6969696969696,-10,-1,a01,9.215662902758137
Adults,989.8989898989898,-10,-1,a01,10.404974527985562
Adults,1010.10101010101,-10,-1,a01,8.572518640500348
Adults,1030.3030303030303,-10,-1,a01,10.06117559717345
Adults,1050.5050505050503,-10,-1,a01,6.727312339168621
Adults,1070.7070707070707,-10,-1,a01,8.577457153749204
Adults,1090.9090909090908,-10,-1,a01,7.819393037064341
Adults,1111.111111111111,-10,-1,a01,7.600616710901771
Adults,1131.3131313131312,-10,-1,a01,7.44043965527567
Adults,1151.5151515151515,-10,-1,a01,6.222161077872162
Adults,1171.7171717171716,-10,-1,a01,6.043113400230069
Adults,1191.919191919192,-10,-1,a01,4.9983469901008455
Adults,1212.121212121212,-10,-1,a01,4.575131309117841
Adults,1232.3232323232323,-10,-1,a01,5.570501828173355
Adults,1252.5252525252524,-10,-1,a01,5.325953551470925
Adults,1272.7272727272727,-10,-1,a01,4.532924317520381
Adults,1292.9292929292928,-10,-1,a01,4.996470548016203
Adults,1313.131313131313,-10,-1,a01,5.7113922735636
Adults,1333.3333333333333,-10,-1,a01,2.750929943207345
