dist,climb,time
2.4,650,0.268055555555556
6.0,2500,0.805833333333333
6.0,900,0.560833333333333
7.5,800,0.76
8.0,3070,1.03777777777778
8.0,2866,1.22027777777778
16.0,7500,3.41027777777778
6.0,800,0.606111111111111
5.0,800,0.495833333333333
6.0,650,0.6625
28.0,2100,3.21111111111111
5.0,2000,0.7175
9.5,2200,1.08333333333333
6.0,500,0.735555555555556
4.5,1500,0.448888888888889
10.0,3000,1.20416666666667
14.0,2200,1.64027777777778
3.0,350,1.31083333333333
4.5,1000,0.290277777777778
5.5,600,0.542777777777778
3.0,300,0.265833333333333
3.5,1500,0.465
6.0,2200,0.794166666666667
2.0,900,0.298888888888889
3.0,600,0.311388888888889
4.0,2000,0.436944444444444
6.0,800,0.573888888888889
5.0,950,0.476111111111111
6.5,1750,0.841666666666667
5.0,500,0.349166666666667
10.0,4400,1.42638888888889
6.0,600,0.539722222222222
18.0,5200,2.8375
4.5,850,0.468333333333333
20.0,5000,2.66388888888889
